Id,IndicatorCode,SpatialDimType,CountryCode,TimeDimType,Year,Dim1Type,Sex,LifeExpectancy
55204,WHOSIS_000001,COUNTRY,RUS,YEAR,2011,SEX,SEX_BTSX,69.8
55416,WHOSIS_000001,COUNTRY,HTI,YEAR,2005,SEX,SEX_BTSX,58.6
55769,WHOSIS_000001,COUNTRY,TUR,YEAR,2021,SEX,SEX_MLE,72.5
55882,WHOSIS_000001,COUNTRY,BEN,YEAR,2020,SEX,SEX_BTSX,64.4
56587,WHOSIS_000001,COUNTRY,GRC,YEAR,2000,SEX,SEX_MLE,76.0
58180,WHOSIS_000001,COUNTRY,BFA,YEAR,2005,SEX,SEX_BTSX,55.2
58817,WHOSIS_000001,COUNTRY,KGZ,YEAR,2000,SEX,SEX_BTSX,65.9
59726,WHOSIS_000001,COUNTRY,CYP,YEAR,2010,SEX,SEX_BTSX,81.2
60879,WHOSIS_000001,COUNTRY,BIH,YEAR,2015,SEX,SEX_MLE,74.5
60943,WHOSIS_000001,COUNTRY,MLT,YEAR,2017,SEX,SEX_BTSX,82.1
61573,WHOSIS_000001,COUNTRY,RUS,YEAR,2010,SEX,SEX_FMLE,74.8
63004,WHOSIS_000001,WORLDBANKINCOMEGROUP,WB_LI,YEAR,2001,SEX,SEX_BTSX,54.4
70572,WHOSIS_000001,COUNTRY,TCD,YEAR,2011,SEX,SEX_BTSX,56.2
70852,WHOSIS_000001,COUNTRY,BGD,YEAR,2000,SEX,SEX_MLE,63.7
70984,WHOSIS_000001,COUNTRY,COD,YEAR,2019,SEX,SEX_FMLE,64.1
72014,WHOSIS_000001,REGION,SEAR,YEAR,2007,SEX,SEX_BTSX,66.9
72378,WHOSIS_000001,COUNTRY,TCD,YEAR,2012,SEX,SEX_MLE,55.1
74561,WHOSIS_000001,COUNTRY,NLD,YEAR,2010,SEX,SEX_FMLE,82.5
74952,WHOSIS_000001,COUNTRY,TON,YEAR,2021,SEX,SEX_BTSX,72.7
77121,WHOSIS_000001,COUNTRY,DNK,YEAR,2013,SEX,SEX_BTSX,80.2
79782,WHOSIS_000001,COUNTRY,NIC,YEAR,2004,SEX,SEX_MLE,72.9
80866,WHOSIS_000001,COUNTRY,ROU,YEAR,2005,SEX,SEX_FMLE,75.6
