NCTId,Title,Status,Sponsor,Conditions
NCT00902161,A Single-Dose Crossover Study of MK0893 in Patients With Type 2 Diabetes (0893-019 AM4)(COMPLETED),COMPLETED,Merck Sharp & Dohme LLC,Type 2 Diabetes Mellitus
NCT04943861,Human Immunodeficiency Virus (HIV) Food Insecurities,RECRUITING,Wake Forest University Health Sciences,"Food Insecurities, Cardiometabolic Comorbidities, HIV, PreDiabetes, Type 2 Diabetes Mellitus (T2DM)"
NCT06358261,Study of a Diabetes Prevention Patient Activation Clinical Decision Support Tool,ENROLLING_BY_INVITATION,Johns Hopkins University,"PreDiabetes, Lifestyle, Healthy, Activation, Patient"
NCT06829589,Retrieval of Economic Incentives and Information on Quality-of-care Indicators in Primary Care,ACTIVE_NOT_RECRUITING,Fundacio d'Investigacio en Atencio Primaria Jordi Gol i Gurina,"Hypertension, Diabetes, Atrium; Fibrillation, Asthma"
NCT06888050,"Efficacy and Safety of Henagliflozin Proline and Metformin Hydrochloride Extended-release Tablets (Ⅰ) Versus Metformin Tablets in Patients With New-onset Type 2 Diabetes: a Multicenter, Randomized Controlled Study",RECRUITING,Zhejiang Provincial People's Hospital,New-onset Type 2 Diabetes
NCT01147250,Evaluation of Cardiovascular Outcomes in Patients With Type 2 Diabetes After Acute Coronary Syndrome During Treatment With AVE0010 (Lixisenatide),COMPLETED,Sanofi,Acute Coronary Syndrome
NCT07298174,Wide Field OCTA in Ocular Diseases,NOT_YET_RECRUITING,IRCCS San Raffaele,"Age - Related Macular Degeneration (AMD), Diabetic Macular Edema, Diabetic Retinopathy, Myopia, Inherited Retinal Disease, Stargardt Disease, Retinitis Pigmentosa (RP), Best Disease, Geographic Atrophy, Macular Neovascularisation, Ocular Surface Disease, Central Serous Choroidopathy, Pachychoroid Disease, Uveitis, Vitreoretinal Disease, Retinal Vein Occlusion"
NCT04786418,Low-Calorie Diet in People With Prediabetes/Metabolic Syndrome,COMPLETED,University of Liverpool,"Obesity, NAFLD, Fatty Liver, Pre Diabetes, Metabolic Syndrome"
NCT04470310,"Glimepiride, Alogliptin and Alogliptin+Pioglitazone Combination",UNKNOWN,Seoul National University Hospital,Type 2 Diabetes Mellitus
NCT04554810,Pharmacists Improving Refugees' Adherence and Knowledge of Their Chronic Medications,COMPLETED,Prof. Iman Basheti,"Diabetes, Hypertension, Dyslipidemias, Cardiac Disease, Asthma"
