Key,ScientificName,Country,Year,BasisOfRecord
6131082339,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6131225754,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6131266554,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6131268374,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6131287376,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6131308604,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6131358382,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6131363898,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6131375899,"Panthera leo leo (Linnaeus, 1758)",South Sudan,2026,HUMAN_OBSERVATION
6131412800,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6131451651,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Botswana,2026,HUMAN_OBSERVATION
6131460516,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Botswana,2026,HUMAN_OBSERVATION
6131470653,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6131533547,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6131570794,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6131600583,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Namibia,2026,HUMAN_OBSERVATION
6131694791,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6133024499,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6133069787,"Panthera leo (Linnaeus, 1758)",South Africa,2026,HUMAN_OBSERVATION
6133135435,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6133234270,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6133293458,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6133293613,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6133339994,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6133457260,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6133527516,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6133598733,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6147171012,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6147186789,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6147298044,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6147302919,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6147344937,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6147367338,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6147402458,"Panthera leo (Linnaeus, 1758)",Uganda,2026,HUMAN_OBSERVATION
6147410693,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6147434753,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6147478968,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6147543358,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6147549525,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6147556974,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Botswana,2026,HUMAN_OBSERVATION
6147573780,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6159168559,"Panthera leo melanochaita (C.E.H.Smith, 1858)",South Africa,2026,HUMAN_OBSERVATION
6159194269,"Panthera leo melanochaita (C.E.H.Smith, 1858)",Kenya,2026,HUMAN_OBSERVATION
6159195144,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
6159260720,"Panthera leo melanochaita (C.E.H.Smith, 1858)","Tanzania, United Republic of",2026,HUMAN_OBSERVATION
