Number,Type,Title,Chamber,Congress,LatestActionDate,LatestAction,UpdateDate,UpdateYear,UpdateMonth
209,HR,Permitting for Mining Needs Act of 2023,House,118,2023-02-28,Subcommittee Hearings Held.,2025-05-27,2025,5
11,HJRES,Proposing an amendment to the Constitution of the United States to limit the number of terms that a Member of Congress may serve.,House,118,2023-09-28,Motion to Report Measure Defeated by the Yeas and Nays:: 17 - 19.,2025-12-05,2025,12
190,HR,Saving Gig Economy Taxpayers Act,House,118,2024-12-10,"Placed on the Union Calendar, Calendar No. 696.",2025-05-27,2025,5
33,HR,"Medicare Dental, Vision, and Hearing Benefit Act of 2023",House,118,2024-12-17,Referred to the Subcommittee on Health.,2024-12-21,2024,12
34,HR,Assuring Medicare’s Promise Act of 2023,House,118,2024-12-17,Referred to the Subcommittee on Health.,2024-12-21,2024,12
35,HR,Close the Medigap Act of 2023,House,118,2024-12-17,Referred to the Subcommittee on Health.,2024-12-21,2024,12
134,HR,To amend title XVIII of the Social Security Act to remove geographic requirements and expand originating sites for telehealth services.,House,118,2024-12-17,Referred to the Subcommittee on Health.,2025-05-27,2025,5
152,HR,Hearing Protection Act,House,118,2024-12-17,Referred to the Subcommittee on Health.,2025-12-05,2025,12
188,HR,Proven Forest Management Act of 2022,House,118,2024-12-18,"Reported (Amended) by the Committee on Natural Resources. H. Rept. 118-926, Part I.",2025-05-27,2025,5
133,HR,MERIT Act,House,118,2024-12-19,"Placed on the Union Calendar, Calendar No. 779.",2025-05-27,2025,5
